,0
29/03/2021,5
28/03/2021,1
27/03/2021,1
22/03/2021,5
25/03/2021,4
30/03/2021,7
01/04/2021,11
02/04/2021,5
05/04/2021,3
07/04/2021,2
06/04/2021,2
03/04/2021,1
08/04/2021,1
28/03/2020,2
12/04/2020,8
18/04/2020,6
10/03/2020,6
16/04/2020,18
08/03/2020,3
01/03/2020,1
24/04/2020,27
21/04/2020,18
22/04/2020,20
19/04/2020,4
23/04/2020,17
26/04/2020,8
25/04/2020,4
23/02/2020,3
22/02/2020,5
03/05/2020,4
04/05/2020,15
05/03/2020,1
02/05/2020,5
06/05/2020,9
01/05/2020,10
09/05/2020,6
16/02/2020,3
10/05/2020,2
